22 5.29231 2.75859 0 3.63634e-10 0.468 0.468 0.54042 0.54042 0.54042 0.54042 0.54042 0.54042 0.975069 0.975069 1.04414 1.04414 1.04414 1.04414 1.04414 1.04414 1.07984 1.07984 1.07984 1.07984 1.51585 1.51585 1.58354 1.58354 1.58354 1.58354 1.58354 1.58354 1.66367 1.66367 1.76893 1.76893 1.76893 1.76893 1.76893 1.76893 2.08849 2.08849 2.17311 2.17311 2.17311 2.17311 2.17311 2.17311 2.17851 2.17851 2.26615 2.26615 2.26718 2.26718 2.26718 2.26718 2.26718 2.26718 2.30817 2.30817 2.30817 2.30817 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.30937 2.68451 2.68451 2.68451 2.68451 2.68451 2.68451 2.70265 2.70265 2.70265 2.70265 2.71395 2.71395 2.74556 2.74556 2.803 2.803 2.803 2.803 2.803 2.803 2.81152 2.81152 2.81152 2.81152 2.81152 2.81152 2.81441 2.81441 
24 5.28621 2.74953 0 9.0669e-10 0.465004 0.465004 0.542015 0.542015 0.542015 0.542015 0.542015 0.542015 0.971646 0.971646 1.04504 1.04504 1.04504 1.04504 1.04504 1.04504 1.08282 1.08282 1.08282 1.08282 1.5141 1.5141 1.58582 1.58582 1.58582 1.58582 1.58582 1.58582 1.66268 1.66268 1.77231 1.77231 1.77231 1.77231 1.77231 1.77231 2.09011 2.09011 2.17147 2.17147 2.17147 2.17147 2.17147 2.17147 2.177 2.177 2.26866 2.26866 2.26998 2.26998 2.26998 2.26998 2.26998 2.26998 2.3128 2.3128 2.3128 2.3128 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.31435 2.68239 2.68239 2.68239 2.68239 2.68239 2.68239 2.70216 2.70216 2.70216 2.70216 2.71407 2.71407 2.74588 2.74588 2.80715 2.80715 2.80715 2.80715 2.80715 2.80715 2.81541 2.81541 2.81541 2.81541 2.81541 2.81541 2.81895 2.81895 
26 5.28403 2.74739 0 2.25955e-09 0.461256 0.461256 0.54355 0.54355 0.54355 0.54355 0.54355 0.54355 0.967205 0.967205 1.0454 1.0454 1.0454 1.0454 1.0454 1.0454 1.0857 1.0857 1.0857 1.0857 1.51122 1.51122 1.58752 1.58752 1.58752 1.58752 1.58752 1.58752 1.65882 1.65882 1.77498 1.77498 1.77498 1.77498 1.77498 1.77498 2.09073 2.09073 2.16671 2.16671 2.16671 2.16671 2.16671 2.16671 2.17282 2.17282 2.26979 2.26979 2.27134 2.27134 2.27134 2.27134 2.27134 2.27134 2.3167 2.3167 2.3167 2.3167 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.31855 2.67716 2.67716 2.67716 2.67716 2.67716 2.67716 2.69797 2.69797 2.69797 2.69797 2.71122 2.71122 2.7444 2.7444 2.80964 2.80964 2.80964 2.80964 2.80964 2.80964 2.81809 2.81809 2.81809 2.81809 2.81809 2.81809 2.82225 2.82225 
28 5.28305 2.74661 0 5.6286e-09 0.456856 0.456856 0.54519 0.54519 0.54519 0.54519 0.54519 0.54519 0.961963 0.961963 1.04555 1.04555 1.04555 1.04555 1.04555 1.04555 1.08876 1.08876 1.08876 1.08876 1.50761 1.50761 1.58909 1.58909 1.58909 1.58909 1.58909 1.58909 1.6537 1.6537 1.77745 1.77745 1.77745 1.77745 1.77745 1.77745 2.09092 2.09092 2.16043 2.16043 2.16043 2.16043 2.16043 2.16043 2.1674 2.1674 2.27034 2.27034 2.27211 2.27211 2.27211 2.27211 2.27211 2.27211 2.32051 2.32051 2.32051 2.32051 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.32266 2.67036 2.67036 2.67036 2.67036 2.67036 2.67036 2.69209 2.69209 2.69209 2.69209 2.70712 2.70712 2.74191 2.74191 2.81158 2.81158 2.81158 2.81158 2.81158 2.81158 2.82034 2.82034 2.82034 2.82034 2.82034 2.82034 2.82516 2.82516 
30 5.28251 2.74636 0 1.40124e-08 0.451752 0.451752 0.547038 0.547038 0.547038 0.547038 0.547038 0.547038 0.955908 0.955908 1.04562 1.04562 1.04562 1.04562 1.04562 1.04562 1.0922 1.0922 1.0922 1.0922 1.50334 1.50334 1.59074 1.59074 1.59074 1.59074 1.59074 1.59074 1.64767 1.64767 1.78003 1.78003 1.78003 1.78003 1.78003 1.78003 2.09088 2.09088 2.15299 2.15299 2.15299 2.15299 2.15299 2.15299 2.16108 2.16108 2.27068 2.27068 2.27267 2.27267 2.27267 2.27267 2.27267 2.27267 2.32461 2.32461 2.32461 2.32461 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.32709 2.66236 2.66236 2.66236 2.66236 2.66236 2.66236 2.68496 2.68496 2.68496 2.68496 2.70222 2.70222 2.73873 2.73873 2.81343 2.81343 2.81343 2.81343 2.81343 2.81343 2.82258 2.82258 2.82258 2.82258 2.82258 2.82258 2.82815 2.82815 
32 5.2821 2.74633 0 3.48564e-08 0.445813 0.445813 0.549181 0.549181 0.549181 0.549181 0.549181 0.549181 0.948929 0.948929 1.04566 1.04566 1.04566 1.04566 1.04566 1.04566 1.09617 1.09617 1.09617 1.09617 1.49838 1.49838 1.59259 1.59259 1.59259 1.59259 1.59259 1.59259 1.64073 1.64073 1.78292 1.78292 1.78292 1.78292 1.78292 1.78292 2.09065 2.09065 2.14437 2.14437 2.14437 2.14437 2.14437 2.14437 2.15393 2.15393 2.27095 2.27095 2.2732 2.2732 2.2732 2.2732 2.2732 2.2732 2.32924 2.32924 2.32924 2.32924 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.33213 2.65317 2.65317 2.65317 2.65317 2.65317 2.65317 2.6766 2.6766 2.6766 2.6766 2.69662 2.69662 2.73497 2.73497 2.81543 2.81543 2.81543 2.81543 2.81543 2.81543 2.825 2.825 2.825 2.825 2.825 2.825 2.83149 2.83149 
34 5.28167 2.74642 0 8.66185e-08 0.438845 0.438845 0.551714 0.551714 0.551714 0.551714 0.551714 0.551714 0.940846 0.940846 1.04568 1.04568 1.04568 1.04568 1.04568 1.04568 1.10084 1.10084 1.10084 1.10084 1.49261 1.49261 1.59473 1.59473 1.59473 1.59473 1.59473 1.59473 1.63279 1.63279 1.78626 1.78626 1.78626 1.78626 1.78626 1.78626 2.09013 2.09013 2.1344 2.1344 2.1344 2.1344 2.1344 2.1344 2.14597 2.14597 2.27123 2.27123 2.27378 2.27378 2.27378 2.27378 2.27378 2.27378 2.33462 2.33462 2.33462 2.33462 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.33801 2.64263 2.64263 2.64263 2.64263 2.64263 2.64263 2.66681 2.66681 2.66681 2.66681 2.69028 2.69028 2.73059 2.73059 2.81773 2.81773 2.81773 2.81773 2.81773 2.81773 2.82775 2.82775 2.82775 2.82775 2.82775 2.82775 2.83538 2.83538 
36 5.28114 2.74661 0 2.14958e-07 0.430581 0.430581 0.554758 0.554758 0.554758 0.554758 0.554759 0.554759 0.931412 0.931412 1.04571 1.04571 1.04571 1.04571 1.04571 1.04571 1.10641 1.10641 1.10641 1.10641 1.48583 1.48583 1.59725 1.59725 1.59725 1.59725 1.59726 1.59726 1.62371 1.62371 1.79021 1.79021 1.79021 1.79021 1.79021 1.79021 2.08907 2.08907 2.12282 2.12282 2.12282 2.12282 2.12282 2.12282 2.13732 2.13732 2.27158 2.27158 2.27447 2.27447 2.27447 2.27447 2.27447 2.27447 2.34097 2.34097 2.34097 2.34097 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.34501 2.63052 2.63052 2.63052 2.63052 2.63052 2.63052 2.65527 2.65527 2.65527 2.65527 2.68313 2.68313 2.72552 2.72552 2.82045 2.82045 2.82045 2.82045 2.82045 2.82045 2.83093 2.83093 2.83093 2.83093 2.83093 2.83093 2.84003 2.84003 
38 5.28041 2.74692 0 5.32472e-07 0.420654 0.420654 0.558483 0.558483 0.558484 0.558484 0.558484 0.558484 0.920307 0.920307 1.04574 1.04574 1.04574 1.04574 1.04574 1.04574 1.11319 1.11319 1.11319 1.11319 1.47775 1.47775 1.60029 1.60029 1.60029 1.60029 1.60029 1.60029 1.61328 1.61328 1.79497 1.79497 1.79497 1.79497 1.79497 1.79497 2.08674 2.08674 2.10925 2.10925 2.10925 2.10925 2.10925 2.10925 2.12845 2.12845 2.27203 2.27203 2.27532 2.27532 2.27532 2.27532 2.27532 2.27532 2.34862 2.34862 2.34862 2.34862 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.3535 2.61655 2.61655 2.61655 2.61655 2.61655 2.61655 2.64153 2.64153 2.64153 2.64153 2.67504 2.67504 2.71962 2.71962 2.82373 2.82373 2.82373 2.82373 2.82373 2.82373 2.83469 2.83469 2.83469 2.83469 2.83469 2.83469 2.8457 2.8457 
40 5.27937 2.74739 0 1.31559e-06 0.408554 0.408554 0.563137 0.563137 0.563137 0.563137 0.563138 0.563138 0.907115 0.907116 1.04578 1.04578 1.04578 1.04578 1.04578 1.04578 1.12158 1.12159 1.12159 1.12159 1.46797 1.46797 1.60132 1.60132 1.60401 1.60401 1.60401 1.60401 1.60401 1.60401 1.8008 1.8008 1.8008 1.8008 1.8008 1.8008 2.08161 2.08161 2.09324 2.09324 2.09324 2.09324 2.09324 2.09324 2.12064 2.12064 2.27266 2.27266 2.27639 2.27639 2.27639 2.2764 2.2764 2.2764 2.358 2.358 2.358 2.358 2.36399 2.36399 2.36399 2.36399 2.36399 2.36399 2.364 2.364 2.364 2.364 2.364 2.364 2.60039 2.60039 2.60039 2.60039 2.60039 2.60039 2.62498 2.62498 2.62498 2.62498 2.66589 2.66589 2.71275 2.71275 2.82778 2.82778 2.82778 2.82778 2.82778 2.82778 2.83922 2.83922 2.83922 2.83922 2.83922 2.83922 2.85276 2.85276 
